URL,Código de resposta,Erro de notícias,Detectado,Categoria
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-07-04/,404,,24/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-09-26/,404,,08/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-07-09/,404,,14/01/14,Não encontrado
http://www.scup.com/pt/events/categories/feed/,404,,04/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-10-24/,404,,17/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-09-12/,404,,15/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-completo/feed/,404,,14/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-08-27/,404,,22/12/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-09-17/,404,,25/12/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-09-24/,404,,10/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-presencial-%E2%80%A2-completo-2013-12-05/,404,,09/01/14,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-11-12/,404,,18/12/13,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-google-com-o-scup/vai-foguetinho/,404,,19/11/13,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-google-com-o-scup/feed/,404,,11/01/14,Não encontrado
http://www.scup.com/pt/turbine-sua-presenca-no-twitter-com-o-scup/foguete-tt/,404,,19/11/13,Não encontrado
http://www.scup.com/pt/eventos/treinamento-online-completo-2013-09-03/,404,,23/12/13,Não encontrado
http://www.scup.com/pt/promo,404,,10/02/14,Não encontrado
http://www.scup.com/pt/blog/450/page/37/?utm_source=rss&utm_medium=rss&utm_campaign=450,404,,10/01/14,Não encontrado
http://www.scup.com/pt/blog/www.band.com.br/cqc/,404,,11/02/14,Não encontrado
http://www.scup.com/pt/paginas-azuis/xcomunicacao/www.xcomunicacao.com.br,404,,05/01/14,Não encontrado
http://www.scup.com/pt/novas-funcionalidades-do-scup-abril-de-2013/regras-6/trackback/,404,,05/01/14,Não encontrado
http://www.scup.com/pt/blog/450/page/10/?utm_source=rss&utm_medium=rss&utm_campaign=450,404,,09/01/14,Não encontrado
http://www.scup.com/pt/blog/450/page/20/?utm_source=rss&utm_medium=rss&utm_campaign=450,404,,09/01/14,Não encontrado
http://www.scup.com/pt/blog/450/page/4/?utm_source=rss&utm_medium=rss&utm_campaign=450,404,,09/01/14,Não encontrado
